index_id,"Toxicity to environmental bacteria (EPA Microtox test), -log10 of Conc.(mg/kg)",SMILES
247,3.952124209,Oc1ccc(Cl)cc1Cl
248,3.951242086,Fc1ccc(cc1)C(=O)c2ccccc2
249,3.950932931,COC(=O)c1ccc(Cl)cc1
250,3.946269473,CC1Cc2c(Cl)cc(c(O)c2C(=O)O1)C(=O)NC(Cc3ccccc3)C(O)=O
251,3.94575148,Clc1ccc(cc1)N=C=O
252,3.940516485,O=C1CCN(N1)c2ccccc2
253,3.940010804,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
254,3.935513643,CN(C)c1ccc(N)cc1
255,3.932821034,Clc1ccc(cc1)S(=O)(=O)c2ccccc2
256,3.924985006,Clc1ccc(Oc2cc(Cl)c(Cl)cc2Cl)c(Cl)c1
257,3.923408729,ClCc1ccccc1
258,3.922245946,Clc1ccc(cc1)C(Cl)(Cl)Cl
259,3.919685309,Cc1ccc(cc1)C(Cl)=O
260,3.901855471,Clc1ccc(Br)cc1
261,3.901247153,Cc1c(N)cccc1N(=O)=O
262,3.900338207,Fc1ccc(CC#N)cc1
263,3.889419661,Nc1cc(Cl)ccc1Cl
264,3.888025541,C(c1ccccc1)c2ccncc2
265,3.887820678,Oc1cccc(Br)c1
266,3.884309168,Nc1nc(c[s]1)c2ccc(Cl)cc2
267,3.884067544,CS(=O)(=O)c1ccccc1
268,3.878202532,Nc1c(cc(Cl)cc1N(=O)=O)N(=O)=O
269,3.872650352,Cc1cc(ccc1N)N(=O)=O
270,3.870371387,CCc1ccc(C)cc1
271,3.8698929,Sc1nc2ccccc2[o]1
272,3.865867007,O=N(=O)c1cc(cc(c1)N(=O)=O)C#N
273,3.859225888,Oc1ccc(Cl)c(c1)N(=O)=O
274,3.85262325,CC1CCCC(=O)CCCC=Cc2cc(O)cc(O)c2C(=O)O1
275,3.847417703,OC1OCC=C2OC(=O)C=C12
276,3.844751116,Oc1cccc2c(O)cccc12
277,3.843842433,COC12C(COC(N)=O)C3C(=O)C(N)=C(C)C(=O)C=3N2CC4NC41
278,3.826355406,CC(=O)OCc1ccccc1
279,3.820399863,Nc1ccc(Cl)cc1Cl
280,3.817247873,Nc1ccc(Cc2ccc(N)cc2)cc1
281,3.817081134,Clc1cccc(Cl)c1
282,3.815445796,Oc1c(Cl)cc(Cl)cc1Cl
283,3.812521876,Oc1cc(Cl)cc(Cl)c1
284,3.807387567,COc1cccc(c1)C(C)=O
285,3.804736301,Clc1cc(Cl)c(cc1Cl)N(=O)=O
286,3.803825822,COc1ccc(Cl)cc1
287,3.803740097,ClC(=O)c1ccc(Cl)cc1
288,3.799736565,Oc1ccc(cc1)C2(OS(=O)(=O)c3ccccc32)c4ccc(O)cc4
289,3.799268554,CC(=O)c1ccc(Br)cc1
290,3.792896527,Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C
291,3.792239849,Oc1cccc(Cl)c1Cl
292,3.791534992,COC(=CC(O)=O)C(=O)C(C)=C
293,3.786563619,Cc1ccc2nccc(C)c2c1
294,3.780074197,ClC1C2OC2C3C1C4(Cl)C(Cl)=C(Cl)C3(Cl)C4(Cl)Cl
295,3.777323742,Cc1ccc(O)c(C)c1
296,3.776667703,CCC(=O)c1ccc(Cl)cc1
297,3.773726016,ClC(=O)OCc1ccc(cc1)N(=O)=O
298,3.765803537,CC(C)OC(=O)c1ccccc1O
299,3.752952998,Cc1ccc(O)cc1
300,3.748599714,[H][n]1ccc2ccccc21
301,3.748462713,Nc1ccc(cc1)c2ccccc2
302,3.742550194,Cc1ccccc1Cl
303,3.741174118,FC(F)(F)c1ccc(Br)c(c1)N(=O)=O
304,3.73851523,CC(=O)c1ccc(C)cc1
305,3.737104255,Cc1ccc2cc(C)cnc2c1
306,3.737052382,Cc1cc(cc(c1O)N(=O)=O)N(=O)=O
307,3.736498812,[O-][n+]1ccc(cc1)N(=O)=O
308,3.736220316,Nc1c(Cl)cc(Cl)cc1N(=O)=O
309,3.734170131,CC(=O)c1ccc(cc1)C(F)(F)F
310,3.733629559,Nc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
311,3.727229729,CC(=O)Cc1ccc(Cl)cc1
312,3.727118427,COc1ccc(C)cc1
313,3.726674726,Cc1cnc2c(C)cccc2c1
314,3.726157376,Cc1ccnc2ccccc12
315,3.725234263,ClC(Cl)C(Cl)Cl
316,3.722726912,NC(Cc1ccc(cc1)N(=O)=O)C(O)=O
317,3.719376237,ClC(=O)Cc1ccccc1
318,3.716120841,Nc1cc(Cl)c(Cl)cc1N(=O)=O
319,3.708641662,Nc1ccccc1c2ccccc2
320,3.706088451,Nc1ccc(Cl)cc1
321,3.705539584,S=C1NC=CC=C1
322,3.704385422,Cc1ccc(cc1)N=C=O
323,3.700703717,Fc1ccc(CCl)cc1
324,3.697507136,Clc1ccc(Cl)cc1
325,3.692826998,O=C1c2ccccc2Oc3ccccc13
326,3.68284838,c1ccc2nc3ccccc3cc2c1
327,3.669502834,C=CC=O
328,3.668698564,Clc1ccc(cc1)C#N
329,3.666998161,Cc1cccc(O)c1C
330,3.66399472,Clc1cc(Cl)c(Cl)cc1Cl
331,3.662566684,COc1ccc(CCO)cc1
332,3.656784142,Clc1ccccc1Cl
333,3.656668226,Oc1ccc(cc1)C(=O)c2ccccc2
334,3.654373529,ClC(=O)Oc1ccccc1
335,3.652422837,c1ccc2[o]ccc2c1
336,3.647338651,Nc1ccc(CCO)cc1
337,3.644840792,CCC(=O)c1ccc(OC)cc1
338,3.643200427,CC(C)(C)C1=CC(=O)C=C(C1=O)C(C)(C)C
339,3.636590117,Cc1ccc2nc(C)ccc2c1
